  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
HD 259494      ,Em*,98.4570969,24.17005924,189.3889373,7.144602338,B2                  ,2544.915874
BD+55 441      ,Be*,29.02975114,56.55438459,131.7979295,-5.199854513,B1V:pe              ,2562.931976
HD 80077       ,s*b,138.9782788,-49.97349274,271.6289235,-0.674224129,B2Ia+e              ,2564.310264
HD 251726      ,Be*,91.72652851,19.03446157,190.9988479,-0.787004985,B1V:e               ,2570.213138
HD 60260       ,Be*,113.2968475,-11.61172655,228.0388877,3.792961979,B3V                 ,2577.231781
HD 16779       ,Em*,40.91040805,57.8280026,137.4404517,-1.848052258,B2Ib                ,2588.526514
HD 303534      ,Be*,163.5912652,-58.07000882,287.9424135,1.353392196,B3                  ,2603.563799
HD 308401      ,Em*,169.1295173,-62.16765242,292.0995431,-1.308921971,B5                  ,2610.985926
HD 232525      ,Em*,26.53578221,53.60774374,131.0839227,-8.395906342,B0                  ,2637.35912
BD+57 515      ,Be*,33.17669213,57.69211781,133.646663,-3.479105729,B2pe                ,2639.544446
HD 13051       ,Be*,32.35706282,56.9917094,133.4375269,-4.280750745,B1IVe               ,2639.573113
HD 249179      ,HXB,88.97933696,28.78511941,181.2839551,1.859534494,B5ne                ,2641.566163
HD 303299      ,Em*,160.7564298,-59.33993057,287.2072755,-0.44649572,B1Ve                ,2646.893988
HD 307347      ,Em*,179.2476432,-60.98472435,296.3758146,1.192063836,B5                  ,2653.905763
HD 305773      ,Em*,164.0161767,-60.4937817,289.1859115,-0.738412832,B1Ib                ,2675.210661
BD+56 484      ,Be*,34.43607559,56.9000041,134.5460597,-4.012881321,B1.0III             ,2678.470605
HD 306016      ,Be*,166.2502994,-61.39361215,290.5462435,-1.108041251,B3                  ,2690.738584
BD+47 3129     ,Em*,307.6285239,47.86408852,85.23071538,5.047489617,B0                  ,2694.06464
BD+60 232      ,Em*,21.27486929,60.80151695,127.0280226,-1.802241026,B2III               ,2706.304053
BD+56 473      ,Be*,34.24045774,57.13020262,134.3697987,-3.830096145,B1III/Ve            ,2722.615226
HD 148028      ,Be*,247.1126922,-56.39762336,329.7448622,-5.281129974,B5IV/V              ,2726.661586
HD 58200       ,Be*,110.8304358,-30.07804073,243.2309331,-6.992108112,B5Ib/II             ,2731.948394
BD+60 114      ,Be*,12.56342907,60.90255628,122.7878669,-1.968862497,B2III:pe            ,2738.009689
HD 144970      ,Be*,242.6975859,-49.02209844,333.0254904,1.84285878,B0                  ,2747.471442
HD 62532       ,Be*,115.9389148,-17.94619672,234.8254567,2.929505096,B3(V)nne            ,2762.230712
BD+59 2829     ,Be*,1.701273424,60.60023505,117.4779993,-1.798019646,B0                  ,2762.704719
BD+52 3283     ,Em*,341.3074898,53.20937336,104.5932237,-5.108687513,B3e                 ,2768.622653
HD 259440      ,HXB,98.24690276,5.800322935,205.6665404,-1.439524546,B0pe                ,2799.039484
BD+56 573      ,Be*,35.5268409,57.09028305,135.042878,-3.63409211,B2III-IVe           ,2801.823488
BD+63 225      ,Em*,25.71653743,64.39947785,128.4530446,2.080424449,B2                  ,2808.567629
HD 102742      ,Be*,177.3747561,-64.62248201,296.3550562,-2.544575103,B3Ve                ,2808.623588
HD 47761       ,Be*,100.0065891,-4.698708907,215.8239092,-4.674779551,B3(II)e             ,2816.236055
CD-61 4751     ,Be*,230.0387567,-62.25221962,319.3184773,-4.209687173,B2Ve                ,2820.779706
BD+34 1150     ,Em*,85.77659424,34.34864442,175.105477,2.374437354,B2V                 ,2847.010913
BD+57 2678     ,Be*,345.9033533,58.30974301,109.1496231,-1.647028576,B2                  ,2872.229285
HD 83597       ,Be*,144.4620545,-53.68034622,276.6388695,-0.997226688,B2Ve                ,2872.532472
BD+61 2408     ,Be*,348.8663302,62.07904638,111.9527956,1.270576158,B3                  ,2874.100585
HD 305483      ,Be*,160.3443693,-60.77567846,287.7096019,-1.807167408,B2                  ,2882.23512
HD 61025       ,Be*,114.0754687,-24.60979188,239.77175,-1.862595898,B2Vne               ,2893
BD+53 2964     ,Be*,340.8466788,54.07160055,104.7581958,-4.219291805,B2IV:nnpe           ,2895.913205
CD-45 4615     ,Be*,132.6491615,-45.54894857,265.4987996,-0.908622206,B2                  ,2896.328035
BD+62 300      ,Be*,26.27778899,62.83081421,129.0148751,0.59469225,B1V:npe             ,2901.749819
HD 136239      ,s*b,230.583664,-59.14720529,321.2280738,-1.74475551,B2Iae               ,2954.864888
CPD-59 4559    ,Be*,193.4649068,-60.3880196,303.2313525,2.48232242,B2IVne              ,3004.179373
HD 61778       ,Em*,115.0009233,-25.5494994,241.0020564,-1.5918034,B2Ib/II             ,3037.780289
HD 224599      ,Be*,359.8123914,60.02248142,116.4504615,-2.190885517,B0V                 ,3050.030431
BD+56 563      ,Be*,35.43083046,57.12577754,134.9816049,-3.618633468,B1IIIe              ,3078.132498
HD 75465       ,Be*,132.0868981,-46.91053571,266.3081725,-2.07075645,B2III/IVe           ,3088.633467
HD 13758       ,Be*,34.01846993,57.74490939,134.0572962,-3.287088458,B1V                 ,3118.005541
BD+60 2645a    ,Em*,359.2181501,61.22727432,116.4127527,-0.951918832,B3V                 ,3126.134225
HD 216044      ,Be*,342.1803212,55.12604663,105.9346129,-3.643829657,B0III-IV            ,3166.451608
HD 295852      ,Em*,104.4647796,-3.762957496,217.0123174,-0.289184646,B3                  ,3168.619269
HD 305138      ,Be*,156.3792195,-59.79415319,285.5166958,-1.95101139,OB                  ,3171.965398
HD 250980      ,Be*,90.89269035,9.66517734,198.8102328,-6.04789258,B2ne                ,3216.039873
BD+79 499      ,Em*,246.3494431,79.26471368,112.6324248,33.13654077,B5                  ,3224.599005
CD-38 4447     ,Em*,126.4132847,-38.77640185,257.3158573,-0.476298113,B0                  ,3235.788313
BD+63 89       ,Em*,11.30354045,64.39187021,122.2592495,1.528249312,B1Ib                ,3287.861188
HD 302840      ,Be*,156.9755387,-57.612096,284.6333904,0.068218278,OB-e                ,3303.37865
HD 95826       ,Be*,165.5996434,-60.51625427,289.9033798,-0.432520323,B5e                 ,3340.764088
BD+61 2481     ,Em*,353.8654421,62.29776317,114.2287726,0.716734242,B3                  ,3391.508214
